Check the telescope 0
xid = 11, yid = 8, angle = 13.3111, solidangle = 7.90505e-323
xid = 11, yid = 9, angle = 14.3914, solidangle = 7.90505e-323
xid = 11, yid = 10, angle = 11.3065, solidangle = 7.90505e-323
xid = 11, yid = 11, angle = 11.9387, solidangle = 7.90505e-323
xid = 11, yid = 12, angle = 13.1333, solidangle = 7.90505e-323
xid = 11, yid = 13, angle = 15.5713, solidangle = 7.90505e-323
xid = 11, yid = 14, angle = 12.3518, solidangle = 7.90505e-323
xid = 11, yid = 15, angle = 12.4155, solidangle = 7.90505e-323
xid = 12, yid = 0, angle = 15.5574, solidangle = 7.90505e-323
xid = 12, yid = 1, angle = 12.0823, solidangle = 7.90505e-323
xid = 12, yid = 2, angle = 15.4972, solidangle = 7.90505e-323
xid = 12, yid = 3, angle = 12.7359, solidangle = 7.90505e-323
xid = 12, yid = 4, angle = 12.4623, solidangle = 7.90505e-323
xid = 12, yid = 5, angle = 11.5403, solidangle = 7.90505e-323
xid = 12, yid = 6, angle = 12.2398, solidangle = 7.90505e-323
xid = 12, yid = 7, angle = 13.6422, solidangle = 7.90505e-323
xid = 12, yid = 8, angle = 14.2495, solidangle = 7.90505e-323
xid = 12, yid = 9, angle = 9.43697, solidangle = 7.90505e-323
xid = 12, yid = 10, angle = 11.3056, solidangle = 7.90505e-323
xid = 12, yid = 11, angle = 12.6264, solidangle = 7.90505e-323
xid = 12, yid = 12, angle = 12.4072, solidangle = 7.90505e-323
xid = 12, yid = 13, angle = 13.9384, solidangle = 7.90505e-323
xid = 12, yid = 14, angle = 14.1912, solidangle = 7.90505e-323
xid = 12, yid = 15, angle = 12.4411, solidangle = 7.90505e-323
xid = 13, yid = 0, angle = 14.3756, solidangle = 7.90505e-323
xid = 13, yid = 1, angle = 12.8419, solidangle = 7.90505e-323
xid = 13, yid = 2, angle = 9.98302, solidangle = 7.90505e-323
xid = 13, yid = 3, angle = 15.6468, solidangle = 7.90505e-323
xid = 13, yid = 4, angle = 12.5532, solidangle = 7.90505e-323
xid = 13, yid = 5, angle = 13.8629, solidangle = 7.90505e-323
xid = 13, yid = 6, angle = 9.86168, solidangle = 7.90505e-323
xid = 13, yid = 7, angle = 7.62267, solidangle = 7.90505e-323
xid = 13, yid = 8, angle = 12.0869, solidangle = 7.90505e-323
xid = 13, yid = 9, angle = 14.0745, solidangle = 7.90505e-323
xid = 13, yid = 10, angle = 11.1555, solidangle = 7.90505e-323
xid = 13, yid = 11, angle = 10.4843, solidangle = 7.90505e-323
xid = 13, yid = 12, angle = 10.1203, solidangle = 7.90505e-323
xid = 13, yid = 13, angle = 11.897, solidangle = 7.90505e-323
xid = 13, yid = 14, angle = 11.2817, solidangle = 7.90505e-323
xid = 13, yid = 15, angle = 14.2058, solidangle = 7.90505e-323
xid = 14, yid = 0, angle = 15.2613, solidangle = 7.90505e-323
xid = 14, yid = 1, angle = 8.6533, solidangle = 7.90505e-323
xid = 14, yid = 2, angle = 13.494, solidangle = 7.90505e-323
xid = 14, yid = 3, angle = 9.14959, solidangle = 7.90505e-323
xid = 14, yid = 4, angle = 11.768, solidangle = 7.90505e-323
xid = 14, yid = 5, angle = 7.35068, solidangle = 7.90505e-323
xid = 14, yid = 6, angle = 6.78723, solidangle = 7.90505e-323
xid = 14, yid = 7, angle = 9.26368, solidangle = 7.90505e-323
xid = 14, yid = 8, angle = 6.59899, solidangle = 7.90505e-323
xid = 14, yid = 9, angle = 8.58255, solidangle = 7.90505e-323
xid = 14, yid = 10, angle = 9.87532, solidangle = 7.90505e-323
xid = 14, yid = 11, angle = 10.7288, solidangle = 7.90505e-323
xid = 14, yid = 12, angle = 11.1711, solidangle = 7.90505e-323
xid = 14, yid = 13, angle = 10.7237, solidangle = 7.90505e-323
xid = 14, yid = 14, angle = 12.1635, solidangle = 7.90505e-323
xid = 14, yid = 15, angle = 12.9641, solidangle = 7.90505e-323
xid = 15, yid = 0, angle = 10.5377, solidangle = 7.90505e-323
xid = 15, yid = 1, angle = 9.31864, solidangle = 7.90505e-323
xid = 15, yid = 2, angle = 9.87367, solidangle = 7.90505e-323
xid = 15, yid = 3, angle = 10.156, solidangle = 7.90505e-323
xid = 15, yid = 4, angle = 7.89563, solidangle = 7.90505e-323
xid = 15, yid = 5, angle = 9.17853, solidangle = 7.90505e-323
xid = 15, yid = 6, angle = 8.14358, solidangle = 7.90505e-323
xid = 15, yid = 7, angle = 9.08901, solidangle = 7.90505e-323
xid = 15, yid = 8, angle = 10.1959, solidangle = 7.90505e-323
xid = 15, yid = 9, angle = 6.42501, solidangle = 7.90505e-323
xid = 15, yid = 10, angle = 7.30087, solidangle = 7.90505e-323
xid = 15, yid = 11, angle = 10.7916, solidangle = 7.90505e-323
xid = 15, yid = 12, angle = 9.14484, solidangle = 7.90505e-323
xid = 15, yid = 13, angle = 10.9787, solidangle = 7.90505e-323
xid = 15, yid = 14, angle = 10.5511, solidangle = 7.90505e-323
xid = 15, yid = 15, angle = 9.75728, solidangle = 7.90505e-323

Check the telescope 1
xid = 0, yid = 0, angle = 19.8798, solidangle = 3.07335e-241
xid = 0, yid = 1, angle = 14.6221, solidangle = 3.07335e-241
xid = 0, yid = 2, angle = 17.0848, solidangle = 3.07335e-241
xid = 0, yid = 3, angle = 17.7246, solidangle = 3.07335e-241
xid = 0, yid = 4, angle = 12.8684, solidangle = 3.07335e-241
xid = 0, yid = 5, angle = 11.596, solidangle = 3.07335e-241
xid = 0, yid = 6, angle = 0, solidangle = 0
xid = 0, yid = 7, angle = 11.158, solidangle = 3.07335e-241
xid = 0, yid = 8, angle = 12.9951, solidangle = 3.07335e-241
xid = 0, yid = 9, angle = 13.4137, solidangle = 3.07335e-241
xid = 0, yid = 10, angle = 17.4874, solidangle = 3.07335e-241
xid = 0, yid = 11, angle = 13.6849, solidangle = 3.07335e-241
xid = 0, yid = 12, angle = 14.6954, solidangle = 3.07335e-241
xid = 0, yid = 13, angle = 14.4371, solidangle = 3.07335e-241
xid = 0, yid = 14, angle = 14.9839, solidangle = 3.07335e-241
xid = 0, yid = 15, angle = 16.3495, solidangle = 3.07335e-241
xid = 1, yid = 0, angle = 19.6859, solidangle = 3.07335e-241
xid = 1, yid = 1, angle = 16.2398, solidangle = 3.07335e-241
xid = 1, yid = 2, angle = 16.6872, solidangle = 3.07335e-241
xid = 1, yid = 3, angle = 13.223, solidangle = 3.07335e-241
xid = 1, yid = 4, angle = 14.8349, solidangle = 3.07335e-241
xid = 1, yid = 5, angle = 16.721, solidangle = 3.07335e-241
xid = 1, yid = 6, angle = 0, solidangle = 0
xid = 1, yid = 7, angle = 16.824, solidangle = 3.07335e-241
xid = 1, yid = 8, angle = 17.3721, solidangle = 3.07335e-241
xid = 1, yid = 9, angle = 12.7252, solidangle = 3.07335e-241
xid = 1, yid = 10, angle = 9.83017, solidangle = 3.07335e-241
xid = 1, yid = 11, angle = 16.2499, solidangle = 3.07335e-241
xid = 1, yid = 12, angle = 13.9837, solidangle = 3.07335e-241
xid = 1, yid = 13, angle = 17.4572, solidangle = 3.07335e-241
xid = 1, yid = 14, angle = 14.6055, solidangle = 3.07335e-241
xid = 1, yid = 15, angle = 18.3187, solidangle = 3.07335e-241
xid = 2, yid = 0, angle = 17.6539, solidangle = 3.07335e-241
xid = 2, yid = 1, angle = 18.8044, solidangle = 3.07335e-241
xid = 2, yid = 2, angle = 15.8891, solidangle = 3.07335e-241
xid = 2, yid = 3, angle = 13.2949, solidangle = 3.07335e-241
xid = 2, yid = 4, angle = 18.5236, solidangle = 3.07335e-241
xid = 2, yid = 5, angle = 14.0314, solidangle = 3.07335e-241
xid = 2, yid = 6, angle = 0, solidangle = 0
xid = 2, yid = 7, angle = 17.6703, solidangle = 3.07335e-241
xid = 2, yid = 8, angle = 15.9967, solidangle = 3.07335e-241
xid = 2, yid = 9, angle = 18.5694, solidangle = 3.07335e-241
xid = 2, yid = 10, angle = 19.2051, solidangle = 3.07335e-241
xid = 2, yid = 11, angle = 16.0743, solidangle = 3.07335e-241
xid = 2, yid = 12, angle = 14.0104, solidangle = 3.07335e-241
xid = 2, yid = 13, angle = 17.6605, solidangle = 3.07335e-241
xid = 2, yid = 14, angle = 16.6446, solidangle = 3.07335e-241
xid = 2, yid = 15, angle = 20.3618, solidangle = 3.07335e-241
xid = 3, yid = 0, angle = 18.2722, solidangle = 3.07335e-241
xid = 3, yid = 1, angle = 20.5224, solidangle = 3.07335e-241
xid = 3, yid = 2, angle = 19.7931, solidangle = 3.07335e-241
xid = 3, yid = 3, angle = 15.9735, solidangle = 3.07335e-241
xid = 3, yid = 4, angle = 17.8653, solidangle = 3.07335e-241
xid = 3, yid = 5, angle = 13.4604, solidangle = 3.07335e-241
xid = 3, yid = 6, angle = 0, solidangle = 0
xid = 3, yid = 7, angle = 18.2737, solidangle = 3.07335e-241
xid = 3, yid = 8, angle = 16.3655, solidangle = 3.07335e-241
xid = 3, yid = 9, angle = 19.6074, solidangle = 3.07335e-241
xid = 3, yid = 10, angle = 17.1266, solidangle = 3.07335e-241
xid = 3, yid = 11, angle = 18.5073, solidangle = 3.07335e-241
xid = 3, yid = 12, angle = 16.2173, solidangle = 3.07335e-241
xid = 3, yid = 13, angle = 20.536, solidangle = 3.07335e-241
xid = 3, yid = 14, angle = 18.1911, solidangle = 3.07335e-241
xid = 3, yid = 15, angle = 19.3488, solidangle = 3.07335e-241
xid = 4, yid = 0, angle = 19.2792, solidangle = 3.07335e-241
xid = 4, yid = 1, angle = 18.0088, solidangle = 3.07335e-241
xid = 4, yid = 2, angle = 17.2425, solidangle = 3.07335e-241
xid = 4, yid = 3, angle = 16.7307, solidangle = 3.07335e-241
xid = 4, yid = 4, angle = 16.8604, solidangle = 3.07335e-241
xid = 4, yid = 5, angle = 21.0537, solidangle = 3.07335e-241
xid = 4, yid = 6, angle = 0, solidangle = 0
xid = 4, yid = 7, angle = 19.1655, solidangle = 3.07335e-241
xid = 4, yid = 8, angle = 17.7631, solidangle = 3.07335e-241
xid = 4, yid = 9, angle = 18.6683, solidangle = 3.07335e-241
xid = 4, yid = 10, angle = 16.5081, solidangle = 3.07335e-241
xid = 4, yid = 11, angle = 20.4066, solidangle = 3.07335e-241
xid = 4, yid = 12, angle = 21.7845, solidangle = 3.07335e-241
xid = 4, yid = 13, angle = 20.1011, solidangle = 3.07335e-241
xid = 4, yid = 14, angle = 20.5211, solidangle = 3.07335e-241
xid = 4, yid = 15, angle = 27.5774, solidangle = 3.07335e-241
xid = 5, yid = 0, angle = 21.9462, solidangle = 3.07335e-241
xid = 5, yid = 1, angle = 19.5072, solidangle = 3.07335e-241
xid = 5, yid = 2, angle = 22.4638, solidangle = 3.07335e-241
xid = 5, yid = 3, angle = 19.0092, solidangle = 3.07335e-241
xid = 5, yid = 4, angle = 19.7235, solidangle = 3.07335e-241
xid = 5, yid = 5, angle = 22.6129, solidangle = 3.07335e-241
xid = 5, yid = 6, angle = 0, solidangle = 0
xid = 5, yid = 7, angle = 22.0905, solidangle = 3.07335e-241
xid = 5, yid = 8, angle = 21.2178, solidangle = 3.07335e-241
xid = 5, yid = 9, angle = 20.5414, solidangle = 3.07335e-241
xid = 5, yid = 10, angle = 18.0785, solidangle = 3.07335e-241
xid = 5, yid = 11, angle = 15.8427, solidangle = 3.07335e-241
xid = 5, yid = 12, angle = 19.861, solidangle = 3.07335e-241
xid = 5, yid = 13, angle = 18.3921, solidangle = 3.07335e-241
xid = 5, yid = 14, angle = 20.1686, solidangle = 3.07335e-241
xid = 5, yid = 15, angle = 23.8767, solidangle = 3.07335e-241
xid = 6, yid = 0, angle = 24.0239, solidangle = 3.07335e-241
xid = 6, yid = 1, angle = 22.6163, solidangle = 3.07335e-241
xid = 6, yid = 2, angle = 22.847, solidangle = 3.07335e-241
xid = 6, yid = 3, angle = 22.9342, solidangle = 3.07335e-241
xid = 6, yid = 4, angle = 19.5076, solidangle = 3.07335e-241
xid = 6, yid = 5, angle = 23.966, solidangle = 3.07335e-241
xid = 6, yid = 6, angle = 0, solidangle = 0
xid = 6, yid = 7, angle = 21.4077, solidangle = 3.07335e-241
xid = 6, yid = 8, angle = 21.9587, solidangle = 3.07335e-241
xid = 6, yid = 9, angle = 20.0084, solidangle = 3.07335e-241
xid = 6, yid = 10, angle = 22.7841, solidangle = 3.07335e-241
xid = 6, yid = 11, angle = 21.4552, solidangle = 3.07335e-241
xid = 6, yid = 12, angle = 19.8282, solidangle = 3.07335e-241
xid = 6, yid = 13, angle = 23.2129, solidangle = 3.07335e-241
xid = 6, yid = 14, angle = 21.7796, solidangle = 3.07335e-241
xid = 6, yid = 15, angle = 25.8207, solidangle = 3.07335e-241
xid = 7, yid = 0, angle = 21.6349, solidangle = 3.07335e-241
xid = 7, yid = 1, angle = 21.5755, solidangle = 3.07335e-241
xid = 7, yid = 2, angle = 24.1726, solidangle = 3.07335e-241
xid = 7, yid = 3, angle = 24.0534, solidangle = 3.07335e-241
xid = 7, yid = 4, angle = 17.3734, solidangle = 3.07335e-241
xid = 7, yid = 5, angle = 22.5704, solidangle = 3.07335e-241
xid = 7, yid = 6, angle = 0, solidangle = 0
xid = 7, yid = 7, angle = 21.0215, solidangle = 3.07335e-241
xid = 7, yid = 8, angle = 20.9093, solidangle = 3.07335e-241
xid = 7, yid = 9, angle = 21.058, solidangle = 3.07335e-241
xid = 7, yid = 10, angle = 19.596, solidangle = 3.07335e-241
xid = 7, yid = 11, angle = 23.9723, solidangle = 3.07335e-241
xid = 7, yid = 12, angle = 24.1638, solidangle = 3.07335e-241
xid = 7, yid = 13, angle = 22.4663, solidangle = 3.07335e-241
xid = 7, yid = 14, angle = 21.2039, solidangle = 3.07335e-241
xid = 7, yid = 15, angle = 25.2646, solidangle = 3.07335e-241
xid = 8, yid = 0, angle = 24.0042, solidangle = 3.07335e-241
xid = 8, yid = 1, angle = 25.2895, solidangle = 3.07335e-241
xid = 8, yid = 2, angle = 23.2961, solidangle = 3.07335e-241
xid = 8, yid = 3, angle = 23.7091, solidangle = 3.07335e-241
xid = 8, yid = 4, angle = 24.4592, solidangle = 3.07335e-241
xid = 8, yid = 5, angle = 26.0883, solidangle = 3.07335e-241
xid = 8, yid = 6, angle = 0, solidangle = 0
xid = 8, yid = 7, angle = 29.5188, solidangle = 3.07335e-241
xid = 8, yid = 8, angle = 25.0049, solidangle = 3.07335e-241
xid = 8, yid = 9, angle = 25.0577, solidangle = 3.07335e-241
xid = 8, yid = 10, angle = 26.2081, solidangle = 3.07335e-241
xid = 8, yid = 11, angle = 22.5403, solidangle = 3.07335e-241
xid = 8, yid = 12, angle = 26.0662, solidangle = 3.07335e-241
xid = 8, yid = 13, angle = 23.481, solidangle = 3.07335e-241
xid = 8, yid = 14, angle = 24.803, solidangle = 3.07335e-241
xid = 8, yid = 15, angle = 24.1885, solidangle = 3.07335e-241
xid = 9, yid = 0, angle = 26.263, solidangle = 3.07335e-241
xid = 9, yid = 1, angle = 24.6435, solidangle = 3.07335e-241
